 [ 4.02689045e+01  4.82805287e+01]
 [ 5.57786186e+01  7.48831074e+01]
 [ 8.24436407e+01  4.22933210e+01]
 [ 6.43176863e+01  4.23772702e+01]
 [ 6.31142912e+01  4.13779642e+01]
 [ 5.60468979e+01  7.74826603e+01]
 [ 6.34313083e+01  3.20531950e+01]
 [ 5.41875362e+01  4.81484347e+01]
 [ 6.15594049e+01  3.81629453e+01]
 [ 4.61527618e+01  3.24729467e+01]
 [ 3.17976221e+01  4.32729906e+01]
 [ 5.36378012e+01  3.54194410e+01]
 [ 6.43126103e+01  7.29033060e+01]
 [ 6.34027551e+01  4.22566252e+01]
 [ 6.09873066e+01  4.56398760e+01]
 [ 5.89102841e+01  7.30187873e+01]
 [ 4.91389522e+01  4.29428737e+01]
 [ 5.04571885e+01  6.29484206e+01]
 [ 6.61943433e+01  3.45124507e+01]
 [ 3.70726494e+01  6.29384093e+01]
 [ 5.98718408e+01  3.24120464e+01]
 [ 6.19124306e+01  7.04699240e+01]
 [ 3.61405118e+01  4.00351629e+01]
 [ 6.07837731e+01  3.67825870e+01]
 [ 6.52725117e+01  3.10419650e+01]
 [ 4.51489174e+01  3.45102047e+01]
 [ 5.04285760e+01  3.89352248e+01]
 [ 2.93467386e+01  5.35842242e+01]
 [ 3.52815945e+01  4.99737952e+01]
 [ 2.73294066e+01  5.87830955e+01]
 [ 6.12944491e+01  4.20719084e+01]
 [ 7.94469480e+01  4.40830170e+01]
 [ 5.67792597e+01  5.78046246e+01]
 [ 3.76576238e+01  3.81388692e+01]
 [ 4.81977211e+01  4.04948170e+01]
 [ 6.17011559e+01  3.88612028e+01]
 [ 4.04917618e+01  5.39466289e+01]
 [ 6.13314450e+01  4.31765426e+01]
 [ 4.43415679e+01  5.76351097e+01]
 [ 4.90359513e+01  4.29092983e+01]
 [-7.98051093e+01  3.89825063e+01]
 [ 7.80091140e+01  4.70796071e+01]
 [ 5.89867795e+01  7.25339951e+01]
 [ 6.01699991e+01  7.35028515e+01]
 [ 6.94264782e+01  6.43546261e+01]
 [ 8.19129796e+01  4.11716423e+01]
 [ 3.61509814e+01  5.33090577e+01]
 [ 7.68449220e+01  4.77963301e+01]
 [ 3.77768823e+01  5.79818864e+01]
 [-8.25022228e+00 -2.90326871e+01]
 [ 2.98992161e+01  5.29711147e+01]
 [ 5.74204519e+01  6.76280123e+01]
 [ 7.66150433e+01  4.82542286e+01]
 [ 4.43741575e+01  5.94316930e+01]
 [ 4.28563845e+01  5.81836636e+01]
 [ 7.46263211e+01  4.85049739e+01]
 [ 5.13308300e+01  7.15209429e+01]
 [ 3.53214034e+01  5.78824446e+01]
 [ 7.78932217e+01  4.71424770e+01]
 [ 7.79403885e+01  4.68959769e+01]
 [ 2.75323566e+01  3.83757317e+01]
 [ 4.67940918e+01  5.16004969e+01]
 [ 6.71724241e+01  4.16719929e+01]
 [ 5.02226838e+01  6.04969329e+01]
 [ 5.77975581e+01  3.80338956e+01]
 [ 5.20046184e+01  4.19013640e+01]
 [ 8.07910041e+01  4.89079754e+01]
 [ 4.45409103e+01  3.43435908e+01]
 [ 4.35623717e+01  6.16461713e+01]
 [ 3.09465359e+01  6.09136134e+01]
 [ 5.46571239e+01  3.52984325e+01]
 [ 4.20200664e+01  5.61530538e+01]
 [ 4.13109072e+01  3.10425002e+01]
 [ 6.48596848e+01  6.69947600e+01]
 [ 5.69397570e+01  3.41854628e+01]
 [ 6.47741493e+01  6.73083284e+01]
 [ 5.79829798e+01  3.87613405e+01]
 [ 3.79127786e+01  5.74422857e+01]
 [ 5.30560571e+01  4.36608136e+01]
 [ 6.30950112e+01  4.19882063e+01]
 [ 4.54574223e+01  3.38488418e+01]
 [ 5.71223175e+01  3.29772403e+01]
 [ 6.22788900e+01  6.80797186e+01]
 [ 4.53590314e+01  3.27155108e+01]
 [ 5.06722382e+01  7.64013960e+01]
 [ 6.44733903e+01  3.61512385e+01]
 [ 5.24575474e+01  3.81482926e+01]
 [ 5.96398490e+01  5.42064769e+01]
 [ 4.17477028e+01  5.43106707e+01]
 [ 4.33804073e+01  3.59529258e+01]
 [ 4.96565715e+01  3.52712405e+01]
 [ 5.72275620e+01  3.68074336e+01]
 [ 3.26410713e+01  5.06740320e+01]
 [ 4.92718490e+01  3.53495036e+01]
 [ 3.79933613e+01  3.75265384e+01]
 [ 3.88753126e+01  3.70113878e+01]
 [ 4.62797756e+01  3.20170534e+01]
 [ 5.56209643e+01  4.28881048e+01]
 [ 4.66070563e+01  3.62888169e+01]
 [ 3.85019194e+01  5.37102165e+01]
 [ 3.83705563e+01  6.24633984e+01]
 [ 3.82416876e+01  3.76248936e+01]
 [ 5.49736277e+01  4.55102223e+01]
 [ 5.07205832e+01  3.70996903e+01]
 [ 7.16178481e+01  5.65610169e+01]
 [ 4.64262564e+01  3.67713235e+01]
 [ 4.23547689e+01  3.30410948e+01]
 [ 4.31033640e+01  3.55804187e+01]
 [ 6.26490915e+01  6.33534387e+01]
 [ 5.76392602e+01  4.56340691e+01]
 [ 7.31919791e+01  5.44765320e+01]
 [ 4.90824975e+01  4.31378565e+01]
 [ 3.93733642e+01  3.16145681e+01]
 [ 7.36775430e+01  5.32431380e+01]
 [ 5.80859435e+01  5.96331554e+01]
 [ 4.06405351e+01  4.91520758e+01]
 [ 3.64209431e+01  3.89772361e+01]
 [ 3.04902765e+01  3.80986545e+01]
 [ 5.73567615e+01  5.38598943e+01]
 [ 2.99712386e+01  3.67182452e+01]
 [ 2.92317012e+01  3.52768307e+01]
 [ 5.84637689e+01  3.11481310e+01]
 [ 8.37391998e+01  4.85419530e+01]
 [ 6.67949444e+01  5.94507135e+01]
 [ 3.98032142e+01  5.87467563e+01]
 [ 7.25619347e+01  5.14591320e+01]
 [ 6.67624347e+01  3.46144724e+01]
